"id","groupId","resourceType","resourceId","archived"
"28296174","21200078","3","8376242","1"
"28298117","21480785","3","8408831","1"
"28298359","20847524","3","6145177","1"
"28298413","20849712","3","8328901","1"
"28298702","21566172","3","8423659","1"
"28298933","21053046","3","8355484","1"
"28352694","21204288","3","6149395","1"
"28361351","20669931","3","8256425","1"
"28396594","21444659","3","8402089","1"
"28403579","21427256","3","8389314","1"
"28406093","21042051","3","6149519","1"
"28408372","21161556","3","6142801","1"
"28410507","21359848","3","6147342","1"
"28415044","21349231","3","6148155","1"
"28416586","20838468","3","6147352","1"
"28416598","20845630","3","6142459","1"
"28416827","21221801","3","6144653","1"
"28417185","21390750","3","8213295","1"
"28480936","21669471","3","6141123","1"
"28490602","21732374","3","8079976","1"
"28508619","21515313","3","8253436","1"
"28523688","21757115","3","8359645","1"
"28523949","21674797","3","8441194","1"
"28552205","21480196","3","8243569","1"
"28553729","21664037","3","6143398","1"
"28558733","21673956","3","8436009","1"
"28560754","21515466","3","8417529","1"
"28560993","21513753","3","8339183","1"
"28561587","19553152","3","6147917","1"
"28607558","21532045","3","6141477","1"
"28610117","21678145","3","8441567","1"
"28629177","21836718","3","7517389","1"
"28645867","21487545","3","8409315","1"
"28647755","21217599","3","8378263","1"
"28674876","21648868","3","8433001","1"
"28683015","21366970","3","8029321","1"
"28683017","21366965","3","8029321","1"
"28688940","21382672","3","8084957","1"
"28702918","21706484","3","8234328","1"
"28703263","21742910","3","6150433","1"
"28703789","21847887","3","8464826","1"
"28710731","21423165","3","8013313","1"
"28711438","21909799","3","7790796","1"
"28711473","20264399","3","6144365","1"
"28711641","21813914","3","8461509","1"
"28777646","21964142","3","8501386","1"
"28794085","21904229","3","8464826","1"
"28794222","21911048","3","6147262","1"
"28803281","21532572","3","6150415","1"
"28850457","21911010","3","6143372","1"
"28876249","21955695","3","6150137","1"
"28876258","21908651","3","8331617","1"
"28879379","21782876","3","6140866","1"
"28883793","21964631","3","6150505","1"
"28884896","21979598","3","8505101","1"
"28885725","21972194","3","8501386","1"
"28890810","22062334","3","8502587","1"
"28891002","21187623","3","8374650","1"
"28891003","21947638","3","6145078","1"
"28891007","22053829","3","8513067","1"
"28930321","21270338","3","8384139","1"
"28930332","21079764","3","8353000","1"
"28930361","21631297","3","8431047","1"
"28941820","22103549","3","8099792","1"
"28950486","21429185","3","8049183","1"
"28950568","22078500","3","6145911","1"
"28958053","21960569","3","6143969","1"
"28962085","21523181","3","8253436","1"
"28970254","21960586","3","6143969","1"
"28971166","22122195","3","8514936","1"
"28974799","22071454","3","8063925","1"
"28988741","22137568","3","6145098","1"
"28994245","22142273","3","8166988","1"
"29003096","21814227","3","6149423","1"
"29017112","21725448","3","8391473","1"
"29018112","22096331","3","8517150","1"
"29018117","22123384","3","6149261","1"
"29025292","22064565","3","6148257","1"
"29027737","22123422","3","6149261","1"
"29027738","21864038","3","7824977","1"
"29033391","22101965","3","6148337","1"
"29033412","21911201","3","6146521","1"
"29033423","21437184","3","6143898","1"
"29033431","21387428","3","8396273","1"
"29033456","22142363","3","8166988","1"
"29033476","22103984","3","8099792","1"
"29055906","21145337","3","8061515","1"
"29066955","22053537","3","8512843","1"
"29075979","22062376","3","8280329","1"
"29092770","22205592","3","6150912","1"
"29113170","22171540","3","6143185","1"
"29117725","22206401","3","8529878","1"
"29121061","21786365","3","8455308","1"
"29126178","22239344","3","6149591","1"
"29161851","22227493","3","6148213","1"
"29166633","22132844","3","8516462","1"
"29169910","22073724","3","6149596","1"
"29170710","22270836","3","8325007","1"
